
[2021-06-09 09:59:26.923] 4831	507	276.720	96.614	19.557	31.180	31.180	40.215	9.035	573.7	653.1	95.2
[2021-06-09 09:59:28.912] 4831	507	276.746	96.627	19.560	31.177	31.177	40.213	9.036	573.7	653.1	95.2
[2021-06-09 09:59:30.916] 4831	507	276.814	96.652	19.560	31.175	31.175	40.211	9.036	573.6	653.2	95.2
[2021-06-09 09:59:32.921] 4831	507	276.755	96.634	19.561	31.176	31.176	40.211	9.034	573.6	653.1	95.1
[2021-06-09 09:59:34.925] 4831	507	276.726	96.625	19.562	31.177	31.177	40.212	9.035	573.7	653.1	95.1
[2021-06-09 09:59:36.930] 4831	507	276.749	96.623	19.557	31.179	31.179	40.213	9.035	573.6	653.1	95.3
[2021-06-09 09:59:38.927] 4831	507	276.790	96.637	19.556	31.177	31.177	40.214	9.037	573.6	653.1	95.3
[2021-06-09 09:59:40.932] 4831	507	276.804	96.641	19.556	31.176	31.176	40.213	9.037	573.7	653.1	95.3
[2021-06-09 09:59:42.920] 4831	507	276.711	96.609	19.556	31.180	31.180	40.215	9.035	573.7	653.1	95.3
[2021-06-09 09:59:44.925] 4831	507	276.820	96.653	19.559	31.174	31.174	40.210	9.036	573.7	653.1	95.2
[2021-06-09 09:59:46.914] 4831	507	276.705	96.618	19.562	31.178	31.178	40.212	9.034	573.7	653.1	95.1
[2021-06-09 09:59:48.918] 4831	507	276.752	96.635	19.563	31.176	31.176	40.211	9.035	573.7	653.2	95.1
[2021-06-09 09:59:50.923] 4831	507	276.727	96.624	19.561	31.177	31.177	40.212	9.034	573.6	653.1	95.1
[2021-06-09 09:59:52.911] 4831	507	276.859	96.670	19.561	31.172	31.172	40.206	9.034	573.6	653.1	95.1
[2021-06-09 09:59:54.916] 4831	507	276.856	96.670	19.562	31.172	31.172	40.208	9.036	573.6	653.1	95.1
[2021-06-09 09:59:56.905] 4831	507	276.805	96.656	19.564	31.173	31.173	40.208	9.035	573.5	653.1	95.0
[2021-06-09 09:59:58.925] 4831	507	276.848	96.675	19.566	31.171	31.171	40.206	9.036	573.5	653.1	95.0
[2021-06-09 10:00:00.929] 4831	507	276.814	96.669	19.568	31.171	31.171	40.205	9.034	573.5	653.1	94.9
[2021-06-09 10:00:02.918] 4831	507	276.899	96.689	19.564	31.169	31.169	40.205	9.036	573.5	653.1	95.0
[2021-06-09 10:00:04.923] 4831	507	276.849	96.672	19.564	31.171	31.171	40.207	9.035	573.5	653.2	95.0
[2021-06-09 10:00:06.921] 4831	507	276.951	96.697	19.558	31.169	31.169	40.204	9.035	573.5	653.1	95.2
[2021-06-09 10:00:08.910] 4831	507	277.045	96.717	19.552	31.168	31.168	40.204	9.036	573.5	653.1	95.4
[2021-06-09 10:00:10.915] 4831	507	277.162	96.759	19.552	31.163	31.163	40.199	9.036	573.4	653.1	95.4
[2021-06-09 10:00:12.919] 4831	507	277.043	96.725	19.557	31.166	31.166	40.201	9.035	573.4	653.1	95.3
[2021-06-09 10:00:14.908] 4831	507	277.056	96.736	19.560	31.164	31.164	40.199	9.034	573.5	653.1	95.2
[2021-06-09 10:00:16.912] 4831	507	277.113	96.752	19.558	31.163	31.163	40.198	9.035	573.4	653.1	95.2
[2021-06-09 10:00:18.901] 4831	507	277.037	96.734	19.562	31.164	31.164	40.199	9.035	573.4	653.1	95.1
[2021-06-09 10:00:20.906] 4831	507	276.973	96.718	19.565	31.166	31.166	40.201	9.035	573.4	653.1	95.0
[2021-06-09 10:00:22.926] 4831	507	277.016	96.727	19.562	31.165	31.165	40.201	9.036	573.4	653.1	95.1
[2021-06-09 10:00:24.915] 4831	507	277.002	96.722	19.562	31.166	31.166	40.201	9.036	573.4	653.1	95.1
[2021-06-09 10:00:26.920] 4831	507	276.973	96.725	19.569	31.164	31.164	40.199	9.035	573.4	653.1	94.9
[2021-06-09 10:00:28.924] 4831	507	276.992	96.733	19.569	31.163	31.163	40.198	9.035	573.3	653.1	94.9
[2021-06-09 10:00:30.913] 4831	507	277.081	96.757	19.566	31.161	31.161	40.194	9.034	573.3	653.1	95.0
[2021-06-09 10:00:32.918] 4831	507	277.093	96.765	19.568	31.159	31.159	40.194	9.035	573.3	653.1	94.9
[2021-06-09 10:00:34.906] 4831	507	277.132	96.781	19.569	31.157	31.157	40.192	9.035	573.3	653.1	94.9
[2021-06-09 10:00:36.911] 4831	507	277.278	96.818	19.562	31.154	31.154	40.190	9.036	573.2	653.1	95.1
[2021-06-09 10:00:38.915] 4831	507	277.263	96.815	19.563	31.154	31.154	40.189	9.034	573.2	653.1	95.0
[2021-06-09 10:00:40.904] 4831	507	277.203	96.800	19.566	31.156	31.156	40.189	9.034	573.2	653.1	95.0
[2021-06-09 10:00:42.909] 4831	507	277.190	96.796	19.566	31.156	31.156	40.190	9.034	573.2	653.1	94.9
[2021-06-09 10:00:44.907] 4831	507	277.206	96.818	19.575	31.152	31.152	40.188	9.036	573.2	653.1	94.7
[2021-06-09 10:00:46.925] 4831	507	277.010	96.754	19.577	31.159	31.159	40.193	9.034	573.2	653.1	94.6
[2021-06-09 10:00:48.914] 4831	507	277.179	96.798	19.569	31.155	31.155	40.191	9.035	573.3	653.1	94.9
[2021-06-09 10:00:50.919] 4831	507	277.163	96.789	19.568	31.157	31.157	40.191	9.034	573.2	653.1	94.9
[2021-06-09 10:00:52.908] 4831	507	277.145	96.779	19.566	31.158	31.158	40.193	9.034	573.2	653.1	95.0
[2021-06-09 10:00:54.912] 4831	507	277.180	96.796	19.568	31.156	31.156	40.190	9.034	573.2	653.2	94.9
